decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,action_space,qrtm_n_clauses,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.5,0.2,0.01,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_103917,16,FALSE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_110123,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.01,1,10000,30,500,1,200,2,4000,2000,2.75,0,0.0,20201012_111517,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.01,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_143457,16,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.3,0.01,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_145424,16,TRUE,TRUE,G
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_151646,16,TRUE,TRUE,G
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_160846,16,TRUE,TRUE,B
SEDF,0,0,0,0.5,0.3,0.01,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_162252,16,TRUE,TRUE,B
SEDF,0,0,0,0.5,0.3,0.01,0.9,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_163320,16,TRUE,TRUE,B
EDF,0.1,1.0,0.99,0,0,0,0.9,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_164646,16,TRUE,TRUE,B
EDF,0.1,1.0,0.99,0,0,0,0.9,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201012_165753,16,TRUE,TRUE,G
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,2000,1,200,2,400,200,2.75,0,0.0,20201012_173507,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,30,2000,1,200,2,400,200,2.75,0,0.0,20201012_185909,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,30,2000,1,200,2,400,200,2.75,0,0.0,20201012_230647,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,30,2000,1,200,2,400,200,2.75,0,0.0,20201012_235715,16,TRUE,TRUE,B
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,2000,1,200,2,400,200,2.75,0,0.0,20201013_004837,16,TRUE,TRUE,G
